Molecular/Biological/Cellular Ontology Terms: 

GO:0006400      tRNA modification                                                                                                        ['Thumpd1']                             
R-MMU-8953897   Cellular responses to stimuli                                                                                            ['Cox20', 'Tubb4a', 'Hsph1']            
R-MMU-2555396   Mitotic Metaphase and Anaphase                                                                                           ['Tubb4a', 'Ppp1cc']                    
GO:0090630      activation of GTPase activity                                                                                            ['Iqsec3']                              
GO:0106016      positive regulation of inflammatory response to wounding                                                                 ['Cd24a']                               
GO:0043021      ribonucleoprotein complex binding                                                                                        ['Ybx3']                                
GO:0006897      endocytosis                                                                                                              ['Pik3cb', 'Magi2', 'Sgip1']            
GO:0004713      protein tyrosine kinase activity                                                                                         ['Tkt']                                 
GO:0051017      actin filament bundle assembly                                                                                           ['Dpysl3']                              
GO:0031625      ubiquitin protein ligase binding                                                                                         ['Mc4r', 'Calr', 'Apc']                 
GO:0001666      response to hypoxia                                                                                                      ['Cd24a']                               
GO:0070372      regulation of ERK1 and ERK2 cascade                                                                                      ['Hmgcr']                               
R-MMU-416482    G alpha (12/13) signalling events                                                                                        ['Rhob']                                
R-MMU-388396    GPCR downstream signalling                                                                                               ['Rgs12', 'Mc4r', 'Adcy8', 'Grm3', 'Prkca', 'Tac1', 'Gnai2', 'Rhob']
GO:0005496      steroid binding                                                                                                          ['Igf1']                                
R-MMU-5654689   PI-3K cascade:FGFR1                                                                                                      ['Fgf9']                                
GO:0070325      lipoprotein particle receptor binding                                                                                    ['Reln']                                
GO:0046716      muscle cell cellular homeostasis                                                                                         ['Prkca', 'Apc']                        
GO:0034739      histone H4K16 deacetylase activity                                                                                       ['Hdac9']                               
R-MMU-5663220   RHO GTPases Activate Formins                                                                                             ['Tubb4a', 'Ppp1cc', 'Rhob', 'Srgap2']  
R-MMU-5654708   Downstream signaling of activated FGFR3                                                                                  ['Fgf9']                                
R-MMU-201556    Signaling by ALK                                                                                                         ['Pik3cb']                              
GO:2000821      regulation of grooming behavior                                                                                          ['Mc4r']                                
R-MMU-8866376   Reelin signalling pathway                                                                                                ['Reln']                                
R-MMU-3858494   Beta-catenin independent WNT signaling                                                                                   ['Prkca']                               
GO:0098796      membrane protein complex                                                                                                 ['Spcs2']                               
GO:0006869      lipid transport                                                                                                          ['Col4a3bp']                            
GO:0043525      positive regulation of neuron apoptotic process                                                                          ['Casp3']                               
GO:0043122      regulation of I-kappaB kinase/NF-kappaB signaling                                                                        ['Btrc', 'Zfand6']                      
GO:0097116      gephyrin clustering involved in postsynaptic density assembly                                                            ['Nrxn2']                               
GO:0048856      anatomical structure development                                                                                         ['Otx2', 'Zeb1']                        
GO:0045785      positive regulation of cell adhesion                                                                                     ['Prkca', 'Frmd5', 'Apc']               
GO:0051028      mRNA transport                                                                                                           ['Fmr1', 'Srsf3']                       
GO:0051093      negative regulation of developmental process                                                                             ['Ybx3']                                
GO:0098976      excitatory chemical synaptic transmission                                                                                ['Fmr1']                                
GO:1990456      mitochondrion-endoplasmic reticulum membrane tethering                                                                   ['Ahcyl1']                              
GO:0050930      induction of positive chemotaxis                                                                                         ['Prkca', 'Scg2']                       
GO:0043484      regulation of RNA splicing                                                                                               ['Hnrnpll', 'Srrm4', 'Rbfox2']          
GO:0006813      potassium ion transport                                                                                                  ['Kcnmb2']                              
R-MMU-5654727   Negative regulation of FGFR2 signaling                                                                                   ['Fgf9']                                
GO:0007420      brain development                                                                                                        ['Emx2', 'Reln', 'Meis2', 'Dcx', 'Pou3f2']
R-MMU-3000170   Syndecan interactions                                                                                                    ['Prkca']                               
GO:0032279      asymmetric synapse                                                                                                       ['Gria1']                               
R-MMU-5654719   SHC-mediated cascade:FGFR4                                                                                               ['Fgf9']                                
GO:0006914      autophagy                                                                                                                ['Pik3cb']                              
GO:0030550      acetylcholine receptor inhibitor activity                                                                                ['Lypd6']                               
GO:0014898      cardiac muscle hypertrophy in response to stress                                                                         ['Mef2c']                               
GO:0098684      photoreceptor ribbon synapse                                                                                             ['Cplx3']                               
GO:0030010      establishment of cell polarity                                                                                           ['Pard3b']                              
GO:2000179      positive regulation of neural precursor cell proliferation                                                               ['Gnai2']                               
GO:0060509      type I pneumocyte differentiation                                                                                        ['Igf1']                                
GO:0048752      semicircular canal morphogenesis                                                                                         ['Zeb1']                                
R-MMU-69618     Mitotic Spindle Checkpoint                                                                                               ['Ppp1cc']                              
GO:0005544      calcium-dependent phospholipid binding                                                                                   ['Cpne8']                               
GO:0010463      mesenchymal cell proliferation                                                                                           ['Fgf9']                                
GO:0080135      regulation of cellular response to stress                                                                                ['Adcy8']                               
GO:2000134      negative regulation of G1/S transition of mitotic cell cycle                                                             ['Apc']                                 
GO:0051135      positive regulation of NK T cell activation                                                                              ['Hsph1']                               
GO:0009953      dorsal/ventral pattern formation                                                                                         ['Lhx1', 'Otx2', 'Apc']                 
R-MMU-5654716   Downstream signaling of activated FGFR4                                                                                  ['Fgf9']                                
R-MMU-205025    NADE modulates death signalling                                                                                          ['Casp3']                               
GO:0005521      lamin binding                                                                                                            ['Ppp1cc']                              
GO:0060213      positive regulation of nuclear-transcribed mRNA poly(A) tail shortening                                                  ['Cnot7']                               
GO:0048009      insulin-like growth factor receptor signaling pathway                                                                    ['Igf1']                                
GO:0002931      response to ischemia                                                                                                     ['Pik3cb', 'Mef2c']                     
GO:1903860      negative regulation of dendrite extension                                                                                ['Bcl11a']                              
GO:0003828      alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity                                                           ['St8sia2']                             
GO:0009311      oligosaccharide metabolic process                                                                                        ['St8sia2', 'St6galnac5', 'St6gal2']    
GO:0006874      intracellular calcium ion homeostasis                                                                                    ['Pik3cb', 'Prkca']                     
GO:0003062      regulation of heart rate by chemical signal                                                                              ['Nos1ap']                              
R-MMU-71387     Metabolism of carbohydrates                                                                                              ['Hs3st3a1', 'Hs3st3b1', 'Hs2st1', 'Tkt']
GO:0070350      regulation of white fat cell proliferation                                                                               ['Fto']                                 
GO:0030122      AP-2 adaptor complex                                                                                                     ['Sgip1']                               
GO:0006527      arginine catabolic process                                                                                               ['Ddah1']                               
GO:2000707      positive regulation of dense core granule biogenesis                                                                     ['Prkca']                               
GO:0000281      mitotic cytokinesis                                                                                                      ['Rhob', 'Exoc5', 'Apc']                
GO:0004462      lactoylglutathione lyase activity                                                                                        ['Glo1']                                
GO:0090103      cochlea morphogenesis                                                                                                    ['Zeb1']                                
R-MMU-983189    Kinesins                                                                                                                 ['Tubb4a']                              
GO:0017015      regulation of transforming growth factor beta receptor signaling pathway                                                 ['Zeb1']                                
GO:0042472      inner ear morphogenesis                                                                                                  ['Otx2', 'Fgf9']                        
GO:0019228      neuronal action potential                                                                                                ['Kcnmb2', 'Gria1']                     
GO:0010225      response to UV-C                                                                                                         ['Yy1']                                 
R-MMU-1227986   Signaling by ERBB2                                                                                                       ['Prkca', 'Cdc37']                      
GO:0048704      embryonic skeletal system morphogenesis                                                                                  ['Zeb1', 'Mef2c', 'Sox11']              
GO:0034976      response to endoplasmic reticulum stress                                                                                 ['Col4a3bp', 'Pdia3']                   
GO:0060064      Spemann organizer formation at the anterior end of the primitive streak                                                  ['Wnt3']                                
GO:0016829      lyase activity                                                                                                           ['Adcy8', 'Gad1', 'Glo1']               
GO:0005834      heterotrimeric G-protein complex                                                                                         ['Gnai2']                               
GO:0072283      metanephric renal vesicle morphogenesis                                                                                  ['Lhx1']                                
GO:0034199      activation of protein kinase A activity                                                                                  ['Adcy8']                               
GO:2000195      negative regulation of female gonad development                                                                          ['Zfpm2']                               
GO:0016597      amino acid binding                                                                                                       ['Ddah1']                               
GO:0051384      response to glucocorticoid                                                                                               ['Cdo1']                                
GO:0098992      neuronal dense core vesicle                                                                                              ['Gnai2', 'Scg2']                       
GO:0097484      dendrite extension                                                                                                       ['Tmem108', 'Auts2']                    
GO:0001540      amyloid-beta binding                                                                                                     ['Gria1']                               
GO:0051642      centrosome localization                                                                                                  ['Pard3b']                              
GO:0050769      positive regulation of neurogenesis                                                                                      ['Faim', 'Sox11']                       
GO:0021828      gonadotrophin-releasing hormone neuronal migration to the hypothalamus                                                   ['Nrp2']                                
GO:0032691      negative regulation of interleukin-1 beta production                                                                     ['Igf1']                                
GO:0043232      intracellular non-membrane-bounded organelle                                                                             ['Fmr1', 'Cnot7']                       
GO:0016567      protein ubiquitination                                                                                                   ['Klhl13', 'Btrc']                      
GO:1990635      proximal dendrite                                                                                                        ['Fmr1']                                
GO:0071363      cellular response to growth factor stimulus                                                                              ['Tspan5', 'Mef2c']                     
GO:0004861      cyclin-dependent protein serine/threonine kinase inhibitor activity                                                      ['Casp3']                               
R-MMU-8957322   Metabolism of steroids                                                                                                   ['Acat2', 'Hmgcs1', 'Hmgcr']            
GO:0097475      motor neuron migration                                                                                                   ['Reln']                                
R-MMU-5628897   TP53 Regulates Metabolic Genes                                                                                           ['Cox20', 'Sesn3']                      
GO:0008542      visual learning                                                                                                          ['Meis2', 'Hmgcr']                      
GO:0006465      signal peptide processing                                                                                                ['Spcs2']                               
GO:0060527      prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis                                ['Igf1']                                
GO:0050807      regulation of synapse organization                                                                                       ['C1ql3', 'Rims4', 'Fmr1']              
GO:0045667      regulation of osteoblast differentiation                                                                                 ['Apc']                                 
GO:0030322      stabilization of membrane potential                                                                                      ['Kcnk12']                              
GO:0060076      excitatory synapse                                                                                                       ['Adcy8', 'Gria1']                      
GO:0010360      negative regulation of anion channel activity                                                                            ['Prkca']                               
R-MMU-140342    Apoptosis induced DNA fragmentation                                                                                      ['Casp3']                               
GO:0001221      transcription coregulator binding                                                                                        ['Foxp2']                               
GO:0019226      transmission of nerve impulse                                                                                            ['Fmr1', 'Cacng2']                      
GO:0046626      regulation of insulin receptor signaling pathway                                                                         ['Sesn3']                               
GO:0045797      positive regulation of intestinal cholesterol absorption                                                                 ['Acat2']                               
GO:0051896      regulation of protein kinase B signaling                                                                                 ['Sesn3']                               
GO:1905515      non-motile cilium assembly                                                                                               ['Exoc5']                               
GO:0015280      ligand-gated sodium channel activity                                                                                     ['Asic4']                               
R-MMU-3700989   Transcriptional Regulation by TP53                                                                                       ['Cox20', 'Sesn3', 'Cnot7']             
R-MMU-109704    PI3K Cascade                                                                                                             ['Pik3cb', 'Fgf9']                      
GO:0032991      protein-containing complex                                                                                               ['C1ql2', 'Rgs12', 'Tal1', 'Pard3b', 'Lhx1', 'Otx2', 'Cabp1', 'Prkca', 'Snx4', 'Gria1', 'Snx2', 'Cdc37', 'Ppm1e', 'Ppp1cc', 'Mef2c', 'Hsph1', 'Calr', 'Magi2', 'Dixdc1', 'Apc', 'Nrxn2']
GO:0099054      presynapse assembly                                                                                                      ['Cadm1']                               
GO:0016514      SWI/SNF complex                                                                                                          ['Bcl11a']                              
GO:0007413      axonal fasciculation                                                                                                     ['Casp3']                               
GO:1905872      negative regulation of protein localization to cell leading edge                                                         ['Ripor2']                              
GO:1902745      positive regulation of lamellipodium organization                                                                        ['Carmil1']                             
GO:0061779      Tapasin-ERp57 complex                                                                                                    ['Pdia3']                               
R-MMU-2454202   Fc epsilon receptor (FCERI) signaling                                                                                    ['Pik3cb']                              
GO:0004971      AMPA glutamate receptor activity                                                                                         ['Gria1']                               
GO:0050829      defense response to Gram-negative bacterium                                                                              ['Adgrb1', 'Tac1']                      
GO:0006935      chemotaxis                                                                                                               ['Ripor2']                              
GO:2000786      positive regulation of autophagosome assembly                                                                            ['Snx4']                                
R-MMU-162582    Signal Transduction                                                                                                      ['Rgs12', 'Mc4r', 'Igf1', 'Adcy8', 'Pik3cb', 'Cpne8', 'Grm3', 'Fgf9', 'Wnt3', 'Casp3', 'Prkca', 'Tle4', 'Tubb4a', 'Tac1', 'Yy1', 'Gnai2', 'Khdrbs2', 'Cdc37', 'Ppp1cc', 'Elmo1', 'Flrt1', 'Rhob', 'Srgap2', 'Nrp2', 'Rbfox2', 'Ktn1', 'Apc', 'Dock4']
GO:0051963      regulation of synapse assembly                                                                                           ['Mef2c']                               
GO:0099590      neurotransmitter receptor internalization                                                                                ['Cacng2']                              
GO:0001942      hair follicle development                                                                                                ['Apc']                                 
GO:0019003      GDP binding                                                                                                              ['Rapgef5', 'Diras2', 'Rhob', 'Dock4']  
GO:0016081      synaptic vesicle docking                                                                                                 ['Unc13c']                              
R-MMU-1614635   Sulfur amino acid metabolism                                                                                             ['Cdo1']                                
GO:0061844      antimicrobial humoral immune response mediated by antimicrobial peptide                                                  ['Cxcl14', 'Tac1']                      
GO:1990837      sequence-specific double-stranded DNA binding                                                                            ['Emx2', 'Sox14', 'Lhx1', 'Otx2', 'Meis2', 'Hnrnpab', 'Pou3f2', 'Yy1', 'Tcf12', 'Mef2c']
R-MMU-1483255   PI Metabolism                                                                                                            ['Pik3cb']                              
GO:0001705      ectoderm formation                                                                                                       ['Lhx1']                                
R-MMU-2500257   Resolution of Sister Chromatid Cohesion                                                                                  ['Tubb4a', 'Ppp1cc']                    
GO:0032555      purine ribonucleotide binding                                                                                            ['Acat2']                               
GO:0005677      chromatin silencing complex                                                                                              ['Yy1']                                 
GO:0019212      phosphatase inhibitor activity                                                                                           ['Anp32e']                              
GO:0017018      myosin phosphatase activity                                                                                              ['Ppm1e', 'Ppp1cc']                     
GO:1902078      positive regulation of lateral motor column neuron migration                                                             ['Reln']                                
GO:0045892      negative regulation of DNA-templated transcription                                                                       ['Lhx1', 'Foxp2', 'Zfpm2', 'Sox5', 'Hdac9', 'Btrc', 'Tle4', 'Zeb1', 'Foxn3', 'Calr', 'Mphosph8', 'Cnot7', 'Rbfox2']
GO:1990253      cellular response to leucine starvation                                                                                  ['Sesn3']                               
GO:0060038      cardiac muscle cell proliferation                                                                                        ['Fgf9']                                
GO:2000741      positive regulation of mesenchymal stem cell differentiation                                                             ['Sox5']                                
GO:0000139      Golgi membrane                                                                                                           ['Cabp1']                               
GO:0002092      positive regulation of receptor internalization                                                                          ['Fmr1', 'Magi2']                       
R-MMU-450531    Regulation of mRNA stability by proteins that bind AU-rich elements                                                      ['Prkca']                               
GO:0043524      negative regulation of neuron apoptotic process                                                                          ['Tox3', 'Fmr1', 'Mef2c', 'Hsph1']      
GO:0098582      innate vocalization behavior                                                                                             ['Foxp2', 'Auts2']                      
GO:0031461      cullin-RING ubiquitin ligase complex                                                                                     ['Klhl13']                              
GO:2000503      positive regulation of natural killer cell chemotaxis                                                                    ['Cxcl14']                              
GO:0008333      endosome to lysosome transport                                                                                           ['Rhob', 'Cacng2']                      
R-MMU-187037    Signaling by NTRK1 (TRKA)                                                                                                ['Pik3cb']                              
R-MMU-70268     Pyruvate metabolism                                                                                                      ['Glo1']                                
GO:0030029      actin filament-based process                                                                                             ['Elmo1']                               
GO:0001775      cell activation                                                                                                          ['Igf1', 'Cd24a']                       
GO:0043408      regulation of MAPK cascade                                                                                               ['Cd24a']                               
GO:2000620      positive regulation of histone H4-K16 acetylation                                                                        ['Auts2']                               
GO:0035984      cellular response to trichostatin A                                                                                      ['Mef2c']                               
GO:0071707      immunoglobulin heavy chain V-D-J recombination                                                                           ['Yy1']                                 
GO:0033592      RNA strand annealing activity                                                                                            ['Fmr1']                                
GO:0018107      peptidyl-threonine phosphorylation                                                                                       ['Prkca', 'Sbk1']                       
GO:0010243      response to organonitrogen compound                                                                                      ['Cdo1']                                
GO:0051480      regulation of cytosolic calcium ion concentration                                                                        ['Adcy8']                               
GO:0030318      melanocyte differentiation                                                                                               ['Mef2c']                               
GO:0060996      dendritic spine development                                                                                              ['Fmr1', 'Srgap2']                      
GO:0016324      apical plasma membrane                                                                                                   ['Pard3b', 'Adcy8', 'Ripor2', 'Pdia3', 'Tkt', 'Ahcyl1']
GO:0031914      negative regulation of synaptic plasticity                                                                               ['Unc13c']                              
GO:0097194      execution phase of apoptosis                                                                                             ['Casp3']                               
GO:0005778      peroxisomal membrane                                                                                                     ['Hmgcr']                               
GO:0004450      isocitrate dehydrogenase (NADP+) activity                                                                                ['Idh1']                                
GO:0051216      cartilage development                                                                                                    ['Sox5', 'Zeb1']                        
GO:0031965      nuclear membrane                                                                                                         ['Nos1ap', 'Yeats4', 'Apc']             
GO:0004519      endonuclease activity                                                                                                    ['Tsn']                                 
GO:0006915      apoptotic process                                                                                                        ['Casp3', 'Ybx3', 'Tox3', 'Prkca', 'Zfp385b', 'Faim', 'Anp32e', 'Zfand6', 'Rnf152', 'Rybp', 'Elmo1', 'Mef2c', 'Rhob', 'Epb41l3', 'Apc', 'Ahcyl1', 'Cadm1']
GO:0043154      negative regulation of cysteine-type endopeptidase activity involved in apoptotic process                                ['Igf1']                                
GO:0007163      establishment or maintenance of cell polarity                                                                            ['Apc']                                 
GO:0043022      ribosome binding                                                                                                         ['Fmr1']                                
GO:0030865      cortical cytoskeleton organization                                                                                       ['Epb41l3']                             
GO:0072357      PTW/PP1 phosphatase complex                                                                                              ['Ppp1cc']                              
GO:0097016      L27 domain binding                                                                                                       ['Lin7c']                               
GO:0045787      positive regulation of cell cycle                                                                                        ['Calr']                                
GO:0043029      T cell homeostasis                                                                                                       ['Casp3']                               
R-MMU-181430    Norepinephrine Neurotransmitter Release Cycle                                                                            ['Ppfia2']                              
R-MMU-73894     DNA Repair                                                                                                               ['Yy1', 'Fto']                          
GO:0009954      proximal/distal pattern formation                                                                                        ['Apc']                                 
GO:0099645      neurotransmitter receptor localization to postsynaptic specialization membrane                                           ['C1ql2', 'C1ql3', 'Neto2', 'Cacng2']   
GO:0030183      B cell differentiation                                                                                                   ['Hdac9', 'Yy1', 'Bcl11a', 'Top2b']     
GO:0000400      four-way junction DNA binding                                                                                            ['Yy1']                                 
GO:0030258      lipid modification                                                                                                       ['Acat2']                               
GO:1902476      chloride transmembrane transport                                                                                         ['Gabrr1']                              
GO:0005783      endoplasmic reticulum                                                                                                    ['Tmtc4', 'Acat2', 'Prkca', 'Col4a3bp', 'Cnbp', 'Gria1', 'Cnih1', 'Fam172a', 'BC031181', 'Flrt1', 'B3glct', 'Calr', 'Spcs2', 'Pdia3', 'Tsn', 'Hmgcr', 'Ktn1', 'Ahcyl1']
GO:1901605      alpha-amino acid metabolic process                                                                                       ['Gcsh']                                
GO:0048596      embryonic camera-type eye morphogenesis                                                                                  ['Zeb1']                                
GO:0016925      protein sumoylation                                                                                                      ['Bcl11a', 'Zmiz1']                     
GO:0060297      regulation of sarcomere organization                                                                                     ['Mef2c']                               
GO:1904753      negative regulation of vascular associated smooth muscle cell migration                                                  ['Mef2c']                               
GO:0030326      embryonic limb morphogenesis                                                                                             ['Fgf9']                                
GO:0007162      negative regulation of cell adhesion                                                                                     ['Ripor2']                              
GO:0045087      innate immune response                                                                                                   ['Cd24a', 'Adgrb1', 'Tac1', 'Cadm1']    
GO:0004693      cyclin-dependent protein serine/threonine kinase activity                                                                ['Cdkl5', 'Ccni']                       
GO:0060412      ventricular septum morphogenesis                                                                                         ['Zfpm2', 'Sox11']                      
GO:0030905      retromer, tubulation complex                                                                                             ['Snx2']                                
GO:0045428      regulation of nitric oxide biosynthetic process                                                                          ['Igf1']                                
R-MMU-68882     Mitotic Anaphase                                                                                                         ['Tubb4a', 'Ppp1cc']                    
GO:0009190      cyclic nucleotide biosynthetic process                                                                                   ['Adcy8']                               
GO:0008233      peptidase activity                                                                                                       ['Casp3', 'Reln', 'Uchl3', 'Pdia3']     
GO:0033762      response to glucagon                                                                                                     ['Cdo1']                                
GO:0016773      phosphotransferase activity, alcohol group as acceptor                                                                   ['Pik3cb']                              
GO:0001662      behavioral fear response                                                                                                 ['Asic4']                               
GO:0060174      limb bud formation                                                                                                       ['Wnt3']                                
GO:0048589      developmental growth                                                                                                     ['Zmiz1']                               
GO:0099179      regulation of synaptic membrane adhesion                                                                                 ['Magi2']                               
GO:0035725      sodium ion transmembrane transport                                                                                       ['Asic4']                               
GO:0007219      Notch signaling pathway                                                                                                  ['Rcan2', 'Fat4']                       
GO:0061386      closure of optic fissure                                                                                                 ['Sox11']                               
GO:0034220      monoatomic ion transmembrane transport                                                                                   ['Gabrr1', 'Gria1']                     
R-MMU-9006927   Signaling by Non-Receptor Tyrosine Kinases                                                                               ['Khdrbs2', 'Elmo1']                    
GO:0042165      neurotransmitter binding                                                                                                 ['Gabrr1', 'Gria1']                     
GO:0070979      protein K11-linked ubiquitination                                                                                        ['Ube2e3']                              
GO:0031941      filamentous actin                                                                                                        ['Carmil1', 'Dpysl3']                   
GO:0006887      exocytosis                                                                                                               ['Cplx3', 'Lin7c', 'Rims4', 'Unc13c', 'Cplx2', 'Exoc5']
GO:0055085      transmembrane transport                                                                                                  ['Slc44a5']                             
R-MMU-351906    Apoptotic cleavage of cell adhesion  proteins                                                                            ['Casp3']                               
GO:2000048      negative regulation of cell-cell adhesion mediated by cadherin                                                           ['Nexmif']                              
GO:0030334      regulation of cell migration                                                                                             ['Fgf9', 'Frmd5', 'Rhob', 'Srgap2', 'Apc']
GO:0003835      beta-galactoside alpha-2,6-sialyltransferase activity                                                                    ['St6gal2']                             
GO:0005254      chloride channel activity                                                                                                ['Gabrr1']                              
GO:2000311      regulation of AMPA receptor activity                                                                                     ['Shisa8', 'Mef2c', 'Cacng2']           
GO:0045109      intermediate filament organization                                                                                       ['Agfg1']                               
R-MMU-9609507   Protein localization                                                                                                     ['Idh1', 'Zfand6']                      
GO:0060322      head development                                                                                                         ['Lhx1']                                
GO:0014009      glial cell proliferation                                                                                                 ['Sox11']                               
GO:0051005      negative regulation of lipoprotein lipase activity                                                                       ['Hdac9']                               
